sample,inner_fold
GSM971957,4
GSM971958,4
GSM971959,4
GSM971960,1
GSM971961,2
GSM971962,5
GSM971963,5
GSM971964,3
GSM971965,4
GSM971966,4
GSM971967,4
GSM971968,3
GSM971969,5
GSM971970,2
GSM971971,5
GSM971972,1
GSM971973,3
GSM971974,5
GSM971975,4
GSM971976,1
GSM971977,2
GSM971978,1
GSM971979,2
GSM971980,3
GSM971981,5
GSM971982,1
GSM971983,4
GSM971984,1
GSM971985,3
GSM971986,3
GSM971987,5
GSM971988,5
GSM971989,3
GSM971990,4
GSM971991,5
GSM971992,1
GSM971993,2
GSM971994,2
GSM971995,5
GSM971996,3
GSM971997,3
GSM971998,3
GSM971999,4
GSM972000,5
GSM972001,5
GSM972002,3
GSM972003,4
GSM972004,2
GSM972005,1
GSM972006,5
GSM972007,5
GSM972008,5
GSM972009,2
GSM972010,3
GSM972011,5
GSM972012,4
GSM972013,1
GSM972014,3
GSM972015,2
GSM972016,4
GSM972017,5
GSM972018,3
GSM972019,5
GSM972020,5
GSM972021,5
GSM972022,2
GSM972023,5
GSM972024,4
GSM972025,2
GSM972026,5
GSM972027,5
GSM972028,1
GSM972029,4
GSM972030,2
GSM972031,1
GSM972032,5
GSM972033,2
GSM972034,4
GSM972035,2
GSM972036,3
GSM972037,5
GSM972038,5
GSM972039,2
GSM972040,2
GSM972041,3
GSM972042,4
GSM972043,1
GSM972044,4
GSM972045,4
GSM972046,2
GSM972047,3
GSM972048,1
GSM972049,1
GSM972050,3
GSM972051,5
GSM972052,3
GSM972053,1
GSM972054,3
GSM972055,4
GSM972056,1
GSM972057,3
GSM972058,3
GSM972059,1
GSM972060,1
GSM972061,1
GSM972062,2
GSM972063,4
GSM972064,2
GSM972065,3
GSM972066,4
GSM972067,3
GSM972068,5
GSM972069,4
GSM972070,3
GSM972071,5
GSM972072,2
GSM972073,2
GSM972074,3
GSM972075,4
GSM972076,1
GSM972077,5
GSM972078,5
GSM972079,4
GSM972080,2
GSM972081,3
GSM972082,2
GSM972083,1
GSM972084,3
GSM972085,2
GSM972086,3
GSM972087,2
GSM972088,4
GSM972089,1
GSM972090,5
GSM972091,3
GSM972092,5
GSM972093,5
GSM972094,4
GSM972095,5
GSM972096,2
GSM972097,3
GSM972098,1
GSM972099,1
GSM972100,3
GSM972101,2
GSM972102,3
GSM972103,1
GSM972104,3
GSM972105,3
GSM972106,4
GSM972107,4
GSM972108,3
GSM972109,4
GSM972110,4
GSM972111,4
GSM972112,3
GSM972113,1
GSM972114,4
GSM972115,4
GSM972116,3
GSM972117,2
GSM972118,3
GSM972119,5
GSM972120,3
GSM972121,4
GSM972122,3
GSM972123,3
GSM972124,4
GSM972125,5
GSM972126,4
GSM972127,5
GSM972128,2
GSM972129,5
GSM972130,4
GSM972131,2
GSM972132,2
GSM972133,3
GSM972134,4
GSM972135,3
GSM972136,2
GSM972137,1
GSM972138,2
GSM972139,5
GSM972140,4
GSM972141,5
GSM972142,1
GSM972143,4
GSM972144,2
GSM972145,1
GSM972146,1
GSM972147,3
GSM972148,2
GSM972149,2
GSM972150,1
GSM972151,2
GSM972152,3
GSM972153,5
GSM972154,4
GSM972155,4
GSM972156,1
GSM972157,5
GSM972158,1
GSM972159,4
GSM972160,1
GSM972161,2
GSM972162,1
GSM972163,5
GSM972164,2
GSM972165,3
GSM972166,3
GSM972167,3
GSM972168,2
GSM972169,4
GSM972170,3
GSM972171,5
GSM972172,2
GSM972173,1
GSM972174,4
GSM972175,5
GSM972176,3
GSM972177,4
GSM972178,1
GSM972179,1
GSM972180,1
GSM972181,4
GSM972182,3
GSM972183,1
GSM972184,2
GSM972185,1
GSM972186,5
GSM972187,3
GSM972188,1
GSM972189,2
GSM972190,2
GSM972191,4
GSM972192,1
GSM972193,2
GSM972194,1
GSM972195,4
GSM972196,4
GSM972197,1
GSM972198,4
GSM972199,1
GSM972200,3
GSM972201,2
GSM972202,4
GSM972203,3
GSM972204,4
GSM972205,1
GSM972206,2
GSM972207,2
GSM972208,4
GSM972209,1
GSM972210,5
GSM972211,2
GSM972212,4
GSM972213,5
GSM972214,3
GSM972215,3
GSM972216,1
GSM972217,2
GSM972218,2
GSM972219,4
GSM972220,5
GSM972221,4
GSM972222,1
GSM972223,3
GSM972224,2
GSM972225,4
GSM972226,2
GSM972227,5
GSM972228,3
GSM972230,2
GSM972231,2
GSM972232,5
GSM972233,5
GSM972234,1
GSM972235,2
GSM972236,2
GSM972237,5
GSM972238,3
GSM972239,3
GSM972240,1
GSM972241,2
GSM972242,1
GSM972243,4
GSM972244,4
GSM972247,4
GSM972248,3
GSM972249,4
GSM972250,5
GSM972251,5
GSM972252,3
GSM972253,4
GSM972254,3
GSM972255,5
GSM972256,5
GSM972257,4
GSM972259,5
GSM972260,3
GSM972261,4
GSM972262,5
GSM972263,3
GSM972264,4
GSM972265,5
GSM972266,3
GSM972267,4
GSM972268,1
GSM972269,5
GSM972270,3
GSM972271,3
GSM972272,2
GSM972273,3
