gene,HR,p,fdr
INHBB,1.46690672134977,1.81476688540024e-08,0.000299218764064792
ATP23,0.33373758907135,5.4599211298443e-07,0.00406458535829195
DCBLD2,1.89041719566089,7.60911063082449e-07,0.00406458535829195
NDUFA9,0.461748613514763,1.00706238890098e-06,0.00406458535829195
CCDC134,0.32007463420402,1.23258896115113e-06,0.00406458535829195
SCARA3,2.03816583547742,1.9528771349639e-06,0.00536650636688079
PTPN14,1.89686481952453,4.08604896740586e-06,0.00929648769927266
LRRC8A,1.9897490625674,4.51066846155879e-06,0.00929648769927266
NAV3,2.80572201362282,5.10380562140238e-06,0.00935017189840916
PPFIBP2,0.355869203070162,7.87594009924829e-06,0.0129858500356406
NPR3,1.78376292154872,1.14380424778465e-05,0.0171445858522485
PXMP2,0.574497012875754,1.3017837568397e-05,0.0178865088189775
TAPBPL,0.598025848510134,1.54494697497188e-05,0.0195946813256433
ZNF667,3.40003428838423,1.72868645016937e-05,0.0203589872788519
HACL2,0.478177337472041,2.27923321563996e-05,0.0250533315063145
ASL,0.613417988558168,2.63586822958946e-05,0.0271626221059193
GLYCTK,0.453652563122155,2.85707861016476e-05,0.027710301249645
SLC35G1,0.468672642926093,3.15636178449707e-05,0.0289122739459931
CS,0.498738391618852,3.34949832686228e-05,0.0290665939017396
GJB6,1.55667619534791,3.74211110247552e-05,0.0308499639288082
PRR15L,0.736183156201961,3.98254199876228e-05,0.0312686440359964
JAGN1,0.436750595835722,4.25489323070984e-05,0.0313636520789185
MYO5B,0.528143727584235,4.37508489698644e-05,0.0313636520789185
PRELID2,0.63977324203385,4.82688672692924e-05,0.0321491766109668
EBF2,3.12059795332807,4.94904552283416e-05,0.0321491766109668
LGALS9,0.634761356769254,5.06961785471334e-05,0.0321491766109668
MSLN,1.19625506031198,5.70952855612786e-05,0.0342166755586973
MYB,0.624522587109962,6.0171372883613e-05,0.0342166755586973
MARVELD2,0.569970703928396,6.34666573710888e-05,0.0342166755586973
SH3RF2,0.576536356494444,6.68066915376057e-05,0.0342166755586973
CRYM,0.647125877188703,7.28239597148453e-05,0.0342166755586973
FGF1,2.31870234751734,7.2898306062715e-05,0.0342166755586973
FGF19,1.30468150834624,7.40859669209857e-05,0.0342166755586973
LGALS4,0.744049702598905,7.4440372878059e-05,0.0342166755586973
ATP5MC1,0.539544130219274,7.66969498329375e-05,0.0342166755586973
