inner_fold,probe_map_hash,training_sample_hash,training_n,repeat_id,outer_fold,analysis_key
1,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,00730caf3df066967a11d3733bb00df9b6addbdc1253f47cf1eb4ac8f6564024,365,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,90bea9abc6d20256989f1de91f35a6252ea011a1bdf82fc4fc48d04e83e8922b,fc6cb8920259241e2d7cca0272fd6e941b19db6c0350c06a6811b4160ce8374a,366,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,2b7971bc6ada286e209add6d3f7a9cde0640d44cdb4e9ef06c7d8925ed30172b,1bb00370d0d1a19311b777593fb7df2843062a298480c89d6ed7450ba61c3872,367,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
4,dbd67614d79ae1b6c29a3ea2935dc9f8e25329274cc605a21f23c799a2f6779c,5c37742fc3c3ccf64a44eab1987a9a4d6f4628e2cb82f5fbb12076fa41007d0f,367,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
5,812c649b3343ca34d7f17cdcd6e2c7d2ed99783aa0ffd8d46a0a52a5c978aef0,a1905d64144346c3cb735dc75abe086125bf6c2c25a92726401e1f0831552d62,367,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,b176bd6db052ae201063eb3b849192dad06dc6b72597b712dde5f70643bcff66,409624bbc57ff0ae94796b2828e8fbd09cb796a2ac56cfa9b4e53aa42be700f8,365,1,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,12cf47ad23bdc2ff51ac0ef12e23dc3f1929e6ba9a9011e9074661d8b0d682ac,89f15465de36959d1ce16499bacec1c4b78b4a7d4fbc03185f4a66af661abb0e,366,1,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,31f9cd2b88c666a1259f0ca152f90962bbde12d79d4f41918aaa4d89c979b175,d6b6090546d0f6fb6aeb8c085387b9dcba0ee67eeec21d1c0f2647cbd657420f,367,1,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
4,7fa0b97d20e6fd1eacdfcb8d289b3162d0296d2e4e86e4e0308488406eedbd34,ff7b5b2ba9a9d6fca58bbdf6dc350c75dcedd7c41acd75694db78a70402190bc,367,1,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
5,bf2e5fcdd70f37d0e4434394a167a97ef986defc315d168354fdd38daf0de807,585cf3343622d9c82ad94162dc9734d425ac098f38f5a1c965156807fe02fdb3,367,1,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,f139c3e6751b981f56ac58f04d906f6305bd0f1116fae08a522fcc0796488468,8411d7024aecfbb5a23fddc7a08376250d1212e2ebe2c45630a50918739f7507,365,1,3,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,dc51439810235251f0ccc4d19fc3b0f9bbc328b27651ad104c3c2a04d61743ee,26abeefea17ab23faa724458c21d50498e807d8748f542f1b7a19492406bb670,366,1,3,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,dd4cd53ad39c8c6dfa888e75944dfd560e4474a7cccbd0fe554c183184b592d3,c309218cde7ddec6c49ef1e56df94ad8e7afa9c274857ff52b4aa87bb04458a2,367,1,3,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
4,dc4f6ec3c338ef683d2cfd5f54b2c0e490218615ef1724ba99c8ce3ee33d2b3b,217c47a10518b58e7c91915c0c5d5c8901811d89deffeb73696f1c95c63c17b9,367,1,3,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
5,a801da818337973036f82b4a428f857846c11070ed9f66ea6c4ce5dcc3fa30bb,020d52f00b6aad45c1a605c619a53c87c5789b0dc5fac0e08b1ef75a9b369b12,367,1,3,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,72e811ce8bfc16eb3840c8497dcd9d2a668d0e17108d109f42dd670cfc9a50f1,bad0e48d13e2fe72d5125e89eaedc4761cc1a47df544c738ec636f3a7f9f70ac,366,1,4,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,01ed9f1b6baed7d25eb0c9ade98fb2980f643f9d648b4d9b69773aa9762b53de,d416510f02e47b07c26afbc38dc0e1172e19eda0214d32255d1dd330037aceef,366,1,4,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,8f2e4c61fcd28515bd5118077acc67663078f3bdf0387fb372e2488dc85a1892,7f9eb874920b477203c0f9187c32da27aee02c9d4b98f9f59c7033bbf2e39ae8,368,1,4,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
4,59f72fc63df9447528597afdce9640d24f873a44f06512f328683d83fca6085c,ef1008bc861ff0f3c4e82cadc870e2c4e8698223a16e28005222754f42c129f5,368,1,4,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
5,230417d11fc8befadfc10ffe941d6200da7dde5a59f44f2db47e8a9af410c828,b9504831b6ed3f11f9ed531f615baf5c1b7a730f1bc150ec56439ff663e0edc7,368,1,4,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,3a8e274f3371a7e9400f0cc88a7674e9785427245ffd69fd00d534157538272f,f4695d01feab30a1699a91804bf7f6541b35e1e131437b6c50cb238d4208200e,366,1,5,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,02bda5d9f999b70ffce95181d7aeeca31314fa93770cebafea44159ebd5235e6,f65bf03a0a55b330780077c0f56517f44ad117c644ae7a8f4438216bb12f5154,366,1,5,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,e2562f5e10b5b4b2bdb94e632ad8b4bd070f5e08b806bcf5cf672d4301141a2e,f7dea6f92beeddbd64bc2b9d58236994b3032c1cc295784ceea9df9af361e8d5,368,1,5,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
4,ea75084403d60ce176ea6390317f772d557e8f922c7f2b8812f10c41cdd18c6e,2acc689220e516632d74081162d24c31c55e11b1cc43be13574a278f4724e8dc,368,1,5,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
5,e84c7ab7f96f07128036999447df25898bab90ff31de4f0f2a492423015a84e8,e644ee92618f1b234d5871b176f453200654e2d754b42a28fe276e0d17cdccad,368,1,5,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,052cd226112809cd709aecf0e472cfac1020a169fadad568bbe04f24fc2b5493,d2ca869d5ab014a55a3fae11a2a9cb7cbef5d79f15404c49325c6881e6e9b370,365,2,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,cb6733e07f2a455294dc9e7aa0779d414788dddad772014a0e44e4ec21a84cd8,c3b102bd64af4f4823d1c4810b7f282afaef7c0d7ac9a0363826b40df96957f9,366,2,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,34679ea2ec8a301f58a4d700dd77ae9884d16d732170f9aad6611386156a09c7,910e14632d06e923368f4e467467752452b078438dfdca0dc0a8cd77f8261be2,367,2,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
4,ea6d33e1af0ba60a0aa7112370059a0cce0ca6834882ed1a78deae133a3012be,c169d952cdbd0e84fa54919a80ab664237442a0d3b2d710c1e8229635ea7cfa3,367,2,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
5,f75d6b832a7f3a010f32e7428143823b2f1336c2c7f2effdaf5fec8d4b9e1afa,67c5ea190ce2184489b7c247ecf350dbfd1052addd4e606e77b604969ab4e484,367,2,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,bb08b2318cbb4c57a8dc05120410be9387b458b9e19c3ceda745b1f60a2f9568,466e4aa259e9dd74a1f8c4b1a4eb8fae82dd85136bfba81b6c9c3f6bc13a6dc8,365,2,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,2817f4246a7f8bb712fa5c16d1a23597c174cc3bd6173ef08e47e97dcb574a30,cd969f8a85a2d412b7d09c940c6602dfc940d87efcedf04b9d0f74321d1fd4ff,366,2,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
3,0c50fcad33be1c53bbdab41791040c0e683d9506fdf83d4b105432cb84961f95,6e82921527b1d8e45701ae9f481ab9c6d0fd3a29e2a65425d49ffec6740f01e2,367,2,2,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
