inner_fold,lambda_ratio,c_index,n_train,events_train,n_valid,events_valid,n_genes,probe_map_hash,gene_model_fingerprint,model_fingerprint,repeat_id,outer_fold,analysis_key
1,0.562341325190349,0.468894601542417,365,121,93,31,7,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,bbf46eb7bdc9b502c00ecae081362f311e534ebd9e933539e8919eebadb6d04a,977355cb358f1002a19332bae4a20a031011f05c0bbf518f48cf4f42ace75559,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.431933279405154,0.471979434447301,365,121,93,31,8,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,26a20cc76563583fb9fcb4566d664a3697f8eac4af5ba74c77133fac602db407,65fbcd5863bcfedc3b057aaef515da77f730b4e69775bb08f6f838b95e882db1,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.331767112784286,0.469408740359897,365,121,93,31,9,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,3c3ba207b1904ebf70df5a7cdded0bdb6bab6d84493634642250fc6fd062ea65,3f6c56f98215fd7e0360d54343d972de7558a951dab6eb242b8c0cf86939f15d,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.254829674797935,0.477634961439589,365,121,93,31,10,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,c3b5f301e9c920c31194313d4d317baad5aab0c0cc14633d69ba74fa3e20f8d7,035b771348f27245ebbc562b2f50ef3733ad4a577f728fe00c8b5e16979b523f,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.195734178148766,0.471979434447301,365,121,93,31,12,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,d42f8977b4c5036738d40b73c694fab7a41457b6be2dc1d124b990331d4672ec,13c588150ff85796ddecd4f6b78791eba75d67ee53cf1b34a9dc0e843dbfda5b,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.150343041978733,0.466838046272494,365,121,93,31,18,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,4851cb180b57d89d858e2e90fd26f8126db7545cb7fcc7300150f6676798bf5b,4970b1315e245be91ae0284377f1b0edaade3c5e3fbad99f4ca71db6cbaf5220,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.115478198468946,0.44318766066838,365,121,93,31,27,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,38c2066464f157af3df21e2af8d1330331c5bc203adea87e36889d77b5307136,f3a142648311e971c2ddc591e341e5277bfbb092eb685fa3666461a516ac7f81,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0886985799018192,0.44987146529563,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,3aee7bf8abfbee86aa9ee2f118d5f701c70a173e1e59579442db1a7a0cf81027,08b0b1e95645b3006403eb5d7066f2e56426f26b9282d318494a425e28921ccf,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0681292069057962,0.446786632390745,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,d0422b3983a11993f55477aa9a0b5803178797e3d7e751b3dec8c8a7aec54b6b,3ff03f79c87f9420422694335a4fd1b9a9fd70078098d1e4272ad5c8a843fc94,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0523299114681495,0.462210796915167,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,c6cd3478ef8bf7b3b8b826924210ea58a32b1f21b11175fd8c68e80f46998240,64a6b05b2359cf9a8392f3d2be99fb70dfc1028f874d477383b6f996962c85a7,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0401945033361513,0.472493573264782,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,bc0f646ca3e817ea7b544ad2056e6daa79e0fa169689fcda0b68e2dc14a1ccb4,b89bf9bf0673cf871c273bbbb3ebe4e4edb107487e15260ab38cf5e4d2574dbf,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0308733199257026,0.467352185089974,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,3b21adab308c9b2d323c417abfdc4a601a7847465a37869c178859d4f9427734,7fe88b75328fcec77b866654112d9f5c32543ed98c99b5a7ff6e01e74631f0ed,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0237137370566166,0.451413881748072,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,095d5f08538caf5ab5953e7f7d92eba9497e3e708143d800be72a281e3394e68,4bf3990b306abd90bbf2cb30472ad8a0d040bfec270b7fe6e66d076582bf466d,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0182144753639595,0.469408740359897,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,16a58d7274d2b88b02968ca698f4c068017946e6356c54a0f116aadc7b3fc94b,44bf5a1ffeb11a3b8a10b4edf3c3b2f484fe7e80e80092cf7508285570ee8cab,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0139905031413729,0.469922879177378,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,97c34346645a2be8605ffe7b2123ca828d116de260b991538fadf020dc5c1282,15f7f7e1c11265c3430487eacc3a1354a8f4d7fe06653e320606119f7dbf2c46,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.0107460782832132,0.469922879177378,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,87b110203e0647ae1b764ff01f115e47e601c9febc7bb5c4d50d0c041c637255,fce4549c2b7d25ad2b19326de7609d3dc0990d38baaa5153b5f1730f5617eaeb,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.00825404185268019,0.478149100257069,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,608a66d869a762dc3fe7e65656f88b8e8d5cf659a829f32c5d5bd91b13c83be2,775ae302d79664f961c1d9e3da931c22b2b56f03543289d01b8f6e2205c82406,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,0.00633991351172485,0.499228791773779,365,121,93,31,30,3bb688c7639727636aad2f547a1c4c63823effcb3c6a005ee3b2179b7b032a00,0d9145f265c6a16f754ad3d5b6eba5c6ece30100436422d7b73a09caab1080e5,a2ac8e301785b32b34fce646067200eb760f90f8260259e17102d514e604859b,1,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
