gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
INHBB,47,0.94,47,0,0,positive,1,0.272651738010787,0.0554588973289225,0.271678867966681,0.147845578648003,0.383629259750211,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ATP23,29,0.58,0,29,0,negative,1,-0.183217288998588,0.0752736723719753,-0.181300246151258,-0.343378979037938,-0.0419510525317849,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CCDC134,23,0.46,0,23,0,negative,1,-0.231806029834784,0.0599573246642424,-0.226791157569461,-0.348100028741626,-0.0953053697166829,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
NDUFA9,19,0.38,0,19,0,negative,1,-0.171241296539086,0.0643169625722377,-0.177238638994979,-0.270967151241866,-0.0473134317902029,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
EIF4A2,16,0.32,16,0,0,positive,1,0.313405237451599,0.0527415316296035,0.305600370747814,0.254271177220296,0.449305352740194,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
MSLN,13,0.26,13,0,0,positive,1,0.216983303761116,0.0390030485556867,0.216127123968989,0.161453892707517,0.273729196375285,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
GJB6,12,0.24,12,0,0,positive,1,0.209030415852652,0.0394135918229083,0.21993372403832,0.104391601861945,0.25027816878334,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AGAP11,11,0.22,11,0,0,positive,1,0.228676300793364,0.0518968110726938,0.221199764318766,0.172634279204929,0.328759801227294,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
DCBLD2,9,0.18,9,0,0,positive,1,0.114428318569296,0.074697956228797,0.0756295995913175,0.0657680064680321,0.250888702471328,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
DIPK1C,8,0.16,8,0,0,positive,1,0.26760405372235,0.0499909187843075,0.253233036380416,0.195812229650096,0.360354314925055,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
