repeat_id,fold_a,fold_b,intersection_n,union_n,jaccard,analysis_key
1,1,2,1,10,0.1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,1,3,1,9,0.111111111111111,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,1,4,2,11,0.181818181818182,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,1,5,1,12,0.0833333333333333,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,2,3,1,10,0.1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,2,4,0,14,0,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,2,5,3,11,0.272727272727273,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,3,4,1,12,0.0833333333333333,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,3,5,1,12,0.0833333333333333,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
1,4,5,1,15,0.0666666666666667,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,1,2,3,10,0.3,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,1,3,2,33,0.0606060606060606,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,1,4,1,13,0.0769230769230769,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,1,5,1,13,0.0769230769230769,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,2,3,2,30,0.0666666666666667,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,2,4,2,9,0.222222222222222,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,2,5,1,10,0.1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,3,4,2,31,0.0645161290322581,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,3,5,2,31,0.0645161290322581,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
2,4,5,1,11,0.0909090909090909,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
