source_id,relative_path,bytes,sha256
GSE39582_expression_unique_mean,GSE39582_expression_unique_mean.csv.gz,68822068,1006ab315b261363942d4b3a067793583a774e03095a211d98801d8f5650d818
GSE39582_probe_expression,GSE39582_series_matrix.txt.gz,172157430,5b88fa71c5268fa1a6ac52b062ee6e676def6c997ab4a09c36ea7acd90ef3968
GSE39582_clinical,GSE39582_clin.csv,12518,fc1e232132f675afd7d33a9ecc0dcea28ad60d146fda87a160b2f0efd19371b1
GSE39582_frozen_probe_annotation,GSE39582_probe_annotation.csv,1669081,de2696752e257a3efcc1fa9ab311a2f197bd762ac6136251b32ffb31b9fcdf3e
TCGA_COAD_expression,TCGA_COAD_expression.csv.gz,14246135,066eff2ef52fa94e6123fb771264e0dc6ecdcc45ecc570f18de95dd96d4f3bd9
TCGA_COAD_survival,COAD_survival.txt,29069,48c0a5825ae0ba29e7bca2744f56714f24f1dada7426e6c2b2f61f589676ec82
TCGA_COAD_clinical_annotations,TCGA_COAD_clinical_annotations.csv,12618,f3264fa8ccb67bac4eabfecd4e9fa67cc20f3ff26c074c15364a5d19768776c5
GSE14333_series_matrix,data/external_GEO/GSE14333_series_matrix.txt.gz,84725407,f2610b7190b17488a748a522d10ba20b3d8343557d0018a98dd1416ce429f00f
GSE17536_series_matrix,data/external_GEO/GSE17536_series_matrix.txt.gz,52242943,803a797b0af96f14cb7d068ad902902f0ce75482afe84fb4839bd8297ad6f39f
GSE17537_series_matrix,data/external_GEO/GSE17537_series_matrix.txt.gz,16505588,b78ffa60f99fad04f0b7aa8712885c873d984628e61482f6525bbc39b8027223
