cohort,endpoint,mapping_method,time_years,group,n_at_risk
TCGA-COAD,OS,gene_level_input,0,Low,140
TCGA-COAD,OS,gene_level_input,5,Low,23
TCGA-COAD,OS,gene_level_input,10,Low,4
TCGA-COAD,OS,gene_level_input,15,Low,0
TCGA-COAD,OS,gene_level_input,0,High,139
TCGA-COAD,OS,gene_level_input,5,High,19
TCGA-COAD,OS,gene_level_input,10,High,4
TCGA-COAD,OS,gene_level_input,15,High,0
GSE14333,DFS,unique_mean,0,Low,113
GSE14333,DFS,unique_mean,5,Low,29
GSE14333,DFS,unique_mean,10,Low,1
GSE14333,DFS,unique_mean,15,Low,0
GSE14333,DFS,unique_mean,0,High,113
GSE14333,DFS,unique_mean,5,High,24
GSE14333,DFS,unique_mean,10,High,1
GSE14333,DFS,unique_mean,15,High,0
GSE17536,OS,unique_mean,0,Low,89
GSE17536,OS,unique_mean,5,Low,27
GSE17536,OS,unique_mean,10,Low,3
GSE17536,OS,unique_mean,15,Low,0
GSE17536,OS,unique_mean,0,High,88
GSE17536,OS,unique_mean,5,High,25
GSE17536,OS,unique_mean,10,High,3
GSE17536,OS,unique_mean,15,High,0
GSE17537,OS,unique_mean,0,Low,28
GSE17537,OS,unique_mean,5,Low,9
GSE17537,OS,unique_mean,10,Low,0
GSE17537,OS,unique_mean,15,Low,0
GSE17537,OS,unique_mean,0,High,27
GSE17537,OS,unique_mean,5,High,6
GSE17537,OS,unique_mean,10,High,0
GSE17537,OS,unique_mean,15,High,0
