cohort,endpoint,n,events,adjustment,term,coef,HR,lower95,upper95,p
GSE39582 (training),OS,572,190,age_per_10y + stage_strata(early/advanced),risk_sd,0.635644492591746,1.88823870524043,1.6422495083383,2.17107412111557,4.42514787075569e-19
GSE39582 (training),OS,572,190,age_per_10y + stage_strata(early/advanced),age_per_10y,0.250118009186401,1.28417695242361,1.13901324364653,1.4478413261082,4.37562656702443e-05
TCGA-COAD,OS,270,65,age_per_10y + stage_strata(early/advanced),risk_sd,0.0930941648258772,1.09756508242705,0.850777881144946,1.41593844511087,0.473755771145297
TCGA-COAD,OS,270,65,age_per_10y + stage_strata(early/advanced),age_per_10y,0.250322893238266,1.28444008675603,1.04575973766279,1.57759595923344,0.0170075880306674
GSE14333,DFS,226,50,age_per_10y + stage_strata(early/advanced),risk_sd,0.530600254295579,1.69995240616304,1.28190200093826,2.25433627617738,0.000229191599353045
GSE14333,DFS,226,50,age_per_10y + stage_strata(early/advanced),age_per_10y,-0.018278551005256,0.981887488515139,0.797734184531181,1.20855174417423,0.863056461133645
GSE17536,OS,177,73,age_per_10y + stage_strata(early/advanced),risk_sd,0.201255591613422,1.22293730440002,0.974295723755148,1.53503255123497,0.0826666774530108
GSE17536,OS,177,73,age_per_10y + stage_strata(early/advanced),age_per_10y,0.177680760692559,1.19444394690481,0.993359092149584,1.43623424154728,0.0588755336702918
GSE17537,OS,55,20,age_per_10y + stage_strata(early/advanced),risk_sd,0.334832685316086,1.39770650883481,0.90680703637002,2.15435413101716,0.129314901403958
GSE17537,OS,55,20,age_per_10y + stage_strata(early/advanced),age_per_10y,0.205569606169655,1.22822446998739,0.869807040206468,1.73433333940101,0.242939417467916
