sample,repeat_id,outer_fold,analysis_key
GSM971957,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971958,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971959,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971960,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971961,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971962,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971963,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971964,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971965,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971966,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971967,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971968,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971969,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971970,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971971,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971972,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971973,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971974,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971975,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971976,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971977,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971978,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971979,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971980,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971981,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971982,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971983,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971984,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971985,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971986,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971987,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971988,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971989,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971990,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971991,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971992,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971993,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971994,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971995,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971996,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971997,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971998,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM971999,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972000,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972001,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972002,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972003,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972004,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972005,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972006,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972007,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972008,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972009,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972010,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972011,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972012,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972013,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972014,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972015,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972016,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972017,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972018,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972019,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972020,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972021,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972022,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972023,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972024,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972025,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972026,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972027,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972028,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972029,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972030,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972031,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972032,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972033,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972034,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972035,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972036,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972037,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972038,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972039,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972040,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972041,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972042,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972043,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972044,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972045,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972046,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972047,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972048,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972049,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972050,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972051,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972052,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972053,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972054,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972055,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972056,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972057,1,5,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972058,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972059,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972060,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972061,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972062,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972063,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972064,1,4,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972065,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972066,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972067,1,2,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GSM972068,1,3,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
