gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
INHBB,46,0.92,46,0,0,positive,1,0.253518275955516,0.0716239899476672,0.24941983649318,0.089151652861989,0.432366143782411,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
CCDC134,42,0.84,0,42,0,negative,1,-0.297964227078047,0.0565383544936969,-0.290656792388319,-0.456970215627795,-0.178402232910155,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
ATP23,34,0.68,0,34,0,negative,1,-0.183371324834024,0.060209399711304,-0.18332198621524,-0.336892834322615,-0.0701393625936625,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
SCARA3,25,0.5,25,0,0,positive,1,0.149973825689209,0.0470674976460395,0.134949672282473,0.0841307036375712,0.234514847880157,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
TAPBPL,15,0.3,0,15,0,negative,1,-0.197525182662671,0.0422645535224248,-0.197529972218333,-0.284926999264283,-0.141678889437256,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
LRRC8A,14,0.28,14,0,0,positive,1,0.140957329923015,0.0542416497164804,0.138949040285284,0.0324982569984666,0.221366632305158,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
NDUFA9,13,0.26,1,12,0,negative,0.923076923076923,-0.126008921158626,0.0798182849484571,-0.138802205591878,-0.236228423660069,0.0166336659675862,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GJB6,11,0.22,11,0,0,positive,1,0.190257212676056,0.0377910325246058,0.186813821383371,0.110464538903977,0.232629155141359,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
MSLN,11,0.22,11,0,0,positive,1,0.248154866833536,0.0231010190543469,0.258432084609167,0.20879726534683,0.273489822689248,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
LGALS9,10,0.2,0,10,0,negative,1,-0.201488788281349,0.0411091749794725,-0.211005949417516,-0.242719102941353,-0.138164345319691,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
DIPK1C,9,0.18,9,0,0,positive,1,0.293219762075174,0.0346244907726934,0.273159361439278,0.247814283161255,0.342596576268551,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
DCBLD2,9,0.18,8,1,0,positive,0.888888888888889,0.0839991645078551,0.0800750465822764,0.0636695112430995,-0.0281091533031688,0.191766348373246,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
ACOX2,7,0.14,0,7,0,negative,1,-0.274260687480597,0.0290534016477285,-0.273871886757794,-0.312357666787014,-0.221388380428591,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
DNPEP,6,0.12,0,6,0,negative,1,-0.177517385330536,0.0232814775086529,-0.187552394842369,-0.196784482793194,-0.146663324038967,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
JAGN1,6,0.12,0,6,0,negative,1,-0.158716635037203,0.0497512231716981,-0.137485111293727,-0.242610029651315,-0.108232436415724,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
GLYCTK,5,0.1,0,5,0,negative,1,-0.15223462638343,0.0631831417918581,-0.183239098615081,-0.198053657323155,-0.045839605398586,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
KCNQ1OT1,5,0.1,5,0,0,positive,1,0.148059430600947,0.0370332722705327,0.134035289440129,0.115697260824174,0.197924372573105,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
